Sr_No,Date_dd/mm/yyyy,Startup_Name,Industry_Vertical,SubVertical,Country,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Currency,Remarks
18,25/05/2017,ByteLink,Logistics,LastMile,USA,San Francisco,SoftBank Vision Fund; Blume Ventures; Bessemer Venture Partners,Series B,0,USD,Undisclosed amount
19,10/6/2017,BridgeVault,Biotech,Diagnostics,Japan,Tokyo,General Catalyst; Andreessen Horowitz,Seed,4762000,USD,Series delayed
20,25/11/2015,ZenForge,AI,Computer Vision,USA,San Francisco,IDG Capital; Blume Ventures; Sequoia Capital,Series A,18873000,USD,Acquired
21,14/09/2019,BridgeBridgeOrbit,SaaS,Analytics,Germany,Berlin,DST Global; Angel: A. Kapoor,IPO,1273369000,USD,Exited - IPO
22,7/6/2023,NovaGrid,SaaS,DevTools,India,Mumbai,Khosla Ventures; 500 Startups,Seed,1198000,USD,Bankruptcy proceeding
23,10/11/2024,LoopFlux,Healthtech,Telemedicine,Nigeria,Lagos,Matrix Partners,Seed,2325000,USD,Follow-on expected
24,11/5/2018,LabsEdgeCloud,Logistics,FreightTech,Mexico,Mexico City,Accel; Chiratae,M&A,867617000,USD,Acquired
25,1/9/2020,CloudByte,Edtech,Test Prep,Australia,Sydney,Elevation Capital,Series B,56021000,USD,Acquired
26,9/3/2021,WiseLumenNova,E-commerce,Marketplaces,India,Bengaluru,Benchmark; Blume Ventures,Seed,1197000,USD,Acquired
27,30/01/2025,LoopPulse,Edtech,K12,France,Paris,Sequoia Capital,Series A,6969000,USD,Partnership announced
28,21/12/2023,WiseNova,Healthtech,Health Analytics,Nigeria,Lagos,SOSV; Andreessen Horowitz; SoftBank Vision Fund,Venture Debt,27772000,USD,Follow-on expected
29,30/06/2017,GridLoop,AI,Generative AI,India,Mumbai,Sequoia Capital,Seed,1007000,USD,Bridge round
30,17/02/2018,HarborOrbit,SaaS,MarTech,India,Bengaluru,Tiger Global,Series B,63481000,USD,Acquired by Strategic
31,16/11/2018,MintWiseForge,Logistics,FreightTech,India,Bengaluru,Benchmark; Angel: L. Wang,Seed,2291000,USD,Series delayed
32,18/07/2025,VaultPeakPulse,AgriTech,Supply Chain,Canada,Toronto,Founders Fund,Pre-Seed,62154,USD,Exited - IPO
33,31/07/2019,CoreSeed,Gaming,Game Tools,Mexico,Mexico City,Khosla Ventures; IDG Capital,Seed,1145000,USD,Bridge round
34,2/1/2015,FluxPulse,SaaS,Analytics,China,Beijing,Khosla Ventures; Norwest,Series B,33358000,USD,Acquired by Strategic
35,14/12/2015,OrbitPeak,AgriTech,Ag Marketplaces,Japan,Tokyo,SOSV,Series A,9171000,USD,Partnership announced
36,30/04/2020,ZenGridWise,Healthtech,MedDevices,Australia,Sydney,Sequoia Capital,Seed,1770000,USD,Partnership announced
37,7/1/2024,OrbitGridByte,Biotech,Bioinformatics,China,Beijing,Y Combinator; Bessemer Venture Partners,Seed,146513,USD,Series delayed
38,14/10/2019,GridLinkVault,Healthtech,Biotech,Israel,Tel Aviv,500 Startups; DST Global; SOSV,Series C,200348000,USD,Operational
39,18/08/2017,MintMint,SaaS,DevTools,Brazil,São Paulo,Tiger Global,Series A,10028000,USD,Series delayed
40,23/03/2020,BytePulse,Edtech,Upskilling,China,Beijing,Bessemer Venture Partners,Series B,38716000,USD,Acquired by Strategic
41,29/03/2023,ForgeSyncSpark,AgriTech,PrecisionAg,South Africa,Johannesburg,Khosla Ventures; Norwest; Bessemer Venture Partners,Angel,13091,USD,Down round
42,27/12/2020,CoreBridge,CleanTech,Energy Storage,China,Beijing,500 Startups; Andreessen Horowitz,Seed,3492000,USD,Bankruptcy proceeding
43,6/2/2020,MintCore,Healthtech,Biotech,Israel,Tel Aviv,Norwest,Growth,117565000,USD,Bridge round
44,17/06/2023,SyncPulse,Biotech,Diagnostics,UK,London,Matrix Partners; SoftBank Vision Fund; Elevation Capital; Angel: A. Kapoor,Series A,3748000,USD,Active
45,18/11/2016,ForgeVaultSeed,SaaS,MarTech,UAE,Dubai,Benchmark,Series B,39255000,USD,Acquired
46,7/1/2023,ZenBridge,Edtech,Test Prep,Germany,Berlin,Norwest,Series A,12468000,USD,Product pivot
47,21/10/2019,LoopZenOrbit,SaaS,HRTech,Australia,Sydney,Falcon Edge; Sequoia Capital,Growth,342344000,USD,Partnership announced
48,22/12/2016,OrbitHarborCloud,Biotech,Bioinformatics,Germany,Berlin,500 Startups; Seedcamp,Series A,14153000,USD,Bankruptcy proceeding
49,21/12/2015,GridSync,Logistics,ColdChain,Japan,Tokyo,SoftBank Vision Fund,Series A,11006000,USD,Operational
50,24/11/2017,CloudForge,Gaming,Cloud Gaming,Netherlands,Amsterdam,Lightspeed,Pre-Seed,47600,USD,Product pivot
51,3/7/2023,SeedSpark,Logistics,LastMile,Brazil,São Paulo,Bessemer Venture Partners,IPO,233852000,USD,Partnership announced
52,22/04/2020,OrbitLoopWise,CleanTech,Energy Storage,UK,London,Khosla Ventures; Chiratae,Seed,3492000,USD,Product pivot
53,1/5/2023,SeedLinkPulse,AI,Generative AI,Canada,Toronto,Lightspeed,Seed,2034000,USD,Down round
54,10/12/2022,EdgeCloudByte,E-commerce,Vertical Commerce,Germany,Berlin,Blume Ventures,Growth,179046000,USD,Active
55,25/01/2017,CloudSpark,Edtech,LMS,Germany,Berlin,General Catalyst,Growth,328198000,USD,Acquired
56,15/12/2015,LabsLumen,Biotech,Bioinformatics,UK,London,Falcon Edge,Series A,3799000,USD,Acquired by Strategic
57,4/6/2018,ForgeByteForge,AgriTech,Supply Chain,Brazil,São Paulo,Falcon Edge,Angel,242113,USD,Product pivot
58,1/8/2019,SeedForge,SaaS,MarTech,Canada,Toronto,Founders Fund; Angel: A. Kapoor,Series B,31080000,USD,Operational
59,1/11/2023,BridgePeakPulse,SaaS,DevTools,Australia,Sydney,SoftBank Vision Fund,Series B,70939000,USD,Acquired by Strategic
60,30/03/2024,FluxGridLabs,SaaS,MarTech,Canada,Toronto,Khosla Ventures,Growth,58338000,USD,Operational
61,28/03/2023,ForgeCloud,Biotech,Diagnostics,Brazil,São Paulo,Sequoia Capital,Series A,16689000,USD,Active
62,13/02/2018,BridgeWise,Gaming,Mobile Games,Canada,Toronto,Elevation Capital,Series A,7878000,USD,Partnership announced
63,22/07/2020,PeakCore,Healthtech,Biotech,France,Paris,Blume Ventures; PayPal Ventures,Series A,0,USD,Undisclosed amount
64,7/3/2020,BytePulse,Healthtech,Health Analytics,Canada,Toronto,Accel; Chiratae,Seed,3490000,USD,Series delayed
65,31/10/2022,LabsNova,CleanTech,WasteTech,USA,San Francisco,Khosla Ventures,Seed,4707000,USD,Partnership announced
66,26/04/2016,EdgeSparkSeed,SaaS,MarTech,Australia,Sydney,Y Combinator,Series A,15690000,USD,Bridge round
67,3/5/2025,OrbitVaultEdge,E-commerce,Logistics,UAE,Dubai,Andreessen Horowitz,M&A,262704000,USD,Acquired by HealthSys
68,31/08/2016,LumenSpark,Logistics,FreightTech,India,Bengaluru,Falcon Edge; Chiratae,Seed,2604000,USD,Exited - IPO
69,18/04/2019,WiseByte,Logistics,ColdChain,Japan,Tokyo,Seedcamp,IPO,1917455000,USD,Exited - IPO
70,16/02/2016,LabsOrbit,Biotech,Bioinformatics,Israel,Tel Aviv,Falcon Edge,Series A,0,USD,Undisclosed amount
71,25/11/2015,PeakLumen,Edtech,LMS,Israel,Tel Aviv,Seedcamp,Seed,2323000,USD,Acquired by Strategic
72,20/07/2017,ZenWiseLabs,Gaming,Cloud Gaming,Nigeria,Lagos,Chiratae,Pre-Seed,13968,USD,Partnership announced
73,16/03/2019,EdgeSync,Healthtech,Biotech,Singapore,Singapore,Sequoia Capital,Series B,13885000,USD,Series delayed
74,9/8/2016,GridHarbor,Gaming,Esports,Singapore,Singapore,SoftBank Vision Fund; General Catalyst,Seed,3309000,USD,Bridge round
75,16/11/2018,FluxHarborWise,Gaming,Mobile Games,Japan,Tokyo,Tiger Global,Venture Debt,45974000,USD,Product pivot
76,26/04/2018,FluxNovaPeak,E-commerce,D2C,China,Beijing,Falcon Edge,Growth,77259000,USD,Acquired by Strategic
77,16/06/2017,PulseForgeCloud,AgriTech,PrecisionAg,Mexico,Mexico City,SoftBank Vision Fund; DST Global,Series C,183649000,USD,Partnership announced
78,19/03/2023,ZenFlux,Gaming,Esports,Germany,Berlin,500 Startups; Angel: S. Gupta,Venture Debt,43875000,USD,Exited - IPO
79,18/11/2017,FluxVault,Edtech,Upskilling,Israel,Tel Aviv,Benchmark,Series C,226418000,USD,Exited - IPO
80,26/06/2024,LoopZenCore,CleanTech,Energy Storage,Israel,Tel Aviv,SOSV; Chiratae,Series C,151126000,USD,Active
81,19/03/2016,SyncSparkNova,Healthtech,Biotech,France,Paris,Elevation Capital,Series B,45187000,USD,Bankruptcy proceeding
82,31/07/2019,EdgeByte,Logistics,FreightTech,Mexico,Mexico City,500 Startups; Seedcamp,Seed,630302,USD,Active
83,24/08/2025,SeedLumenWise,CleanTech,Energy Storage,Germany,Berlin,500 Startups,Seed,4609000,USD,Bankruptcy proceeding
84,8/6/2017,GridSync,Edtech,LMS,Germany,Berlin,Benchmark; Angel: S. Gupta,Growth,350526000,USD,Exited - IPO
85,15/05/2016,ZenPeak,Gaming,Game Tools,Nigeria,Lagos,Norwest,Venture Debt,43774000,USD,Down round
86,20/03/2021,BridgePulse,AgriTech,PrecisionAg,USA,San Francisco,Falcon Edge; Lightspeed; Tiger Global,Series C,160765000,USD,Down round
87,18/09/2024,EdgeNova,Edtech,K12,Canada,Toronto,Founders Fund; Benchmark; Blume Ventures,Growth,97679000,USD,Exited - IPO
88,13/05/2023,SparkGrid,SaaS,DevTools,India,Bengaluru,Bessemer Venture Partners,Seed,539554,USD,Exited - IPO
89,20/03/2022,ByteSpark,Healthtech,Biotech,Brazil,São Paulo,Chiratae; IDG Capital,Seed,463772,USD,Acquired by Strategic
90,1/1/2022,BridgeLumenSeed,Healthtech,Biotech,Japan,Tokyo,Andreessen Horowitz; Angel: S. Gupta,Seed,777719,USD,Exited - IPO
91,5/5/2022,LumenVaultPulse,AgriTech,Ag Marketplaces,Japan,Tokyo,Seedcamp,Series A,16435000,USD,Acquired by Strategic
92,4/7/2018,CloudLoopEdge,SaaS,Analytics,Netherlands,Amsterdam,Y Combinator,Growth,234067000,USD,Partnership announced
93,30/07/2021,LumenMintPeak,Healthtech,Telemedicine,UK,London,Matrix Partners; Andreessen Horowitz,Seed,910041,USD,Acquired
94,21/05/2017,PeakSpark,Gaming,Cloud Gaming,USA,San Francisco,Y Combinator,M&A,645685000,USD,Down round
95,17/03/2022,NovaForgePeak,Logistics,FreightTech,Germany,Berlin,Founders Fund; DST Global,Series C,151418000,USD,Product pivot
96,30/06/2019,EdgeVault,Edtech,Test Prep,Australia,Sydney,Andreessen Horowitz,IPO,803817000,USD,Partnership announced
97,17/09/2023,ForgeZenByte,Healthtech,MedDevices,China,Beijing,Khosla Ventures,Series A,13439000,USD,Follow-on expected
98,1/6/2017,LabsLoopWise,AgriTech,PrecisionAg,UK,London,500 Startups,Seed,3657000,USD,Acquired
99,19/05/2018,EdgeCloud,Gaming,Cloud Gaming,Brazil,São Paulo,DST Global; Angel: R. Sharma,Series B,16096000,USD,Bridge round
100,6/5/2024,LoopZenCore,Fintech,Lending,South Korea,Seoul,SoftBank Vision Fund,Seed,0,USD,Undisclosed amount
101,7/9/2019,LabsCore,Fintech,Lending,UK,London,Norwest,Growth,329108000,USD,Active
102,19/11/2015,FluxVault,Edtech,LMS,France,Paris,Falcon Edge,Seed,988044,USD,Exited - IPO
103,29/09/2025,EdgeSyncLabs,Edtech,K12,Brazil,São Paulo,Matrix Partners,Series B,78445000,USD,Follow-on expected
104,13/01/2020,BridgeHarborHarbor,Edtech,Upskilling,UK,London,Falcon Edge,Seed,4245000,USD,Bankruptcy proceeding
105,19/08/2021,LoopOrbit,Gaming,Game Tools,Israel,Tel Aviv,Khosla Ventures,Series A,17734000,USD,Acquired
106,7/9/2020,GridBridge,CleanTech,Energy Storage,USA,San Francisco,Tiger Global,Angel,160511,USD,Series delayed
107,20/01/2020,MintSeed,Fintech,Lending,South Africa,Johannesburg,IDG Capital; Andreessen Horowitz,Series B,53155000,USD,Acquired
108,8/3/2019,CoreWise,Edtech,K12,India,Mumbai,DST Global,Series B,68978000,USD,Exited - IPO
109,13/05/2022,EdgeMintZen,Fintech,Insurtech,UK,London,Khosla Ventures; Benchmark,Seed,4781000,USD,Bankruptcy proceeding
110,7/9/2018,PeakSeed,AI,Robotics,China,Beijing,Norwest,Seed,810674,USD,Product pivot
111,31/10/2018,PulseSync,Logistics,LastMile,South Korea,Seoul,Blume Ventures,Series A,2612000,USD,Follow-on expected
112,23/09/2016,LinkSeed,E-commerce,Marketplaces,Brazil,São Paulo,DST Global; Andreessen Horowitz,Series C,50266000,USD,Bankruptcy proceeding
113,16/08/2017,SyncFluxSpark,Edtech,LMS,USA,San Francisco,DST Global; Khosla Ventures; SOSV,Series A,9970000,USD,Down round
114,28/02/2024,ForgeEdge,AgriTech,FarmTech,Japan,Tokyo,Bessemer Venture Partners,Series C,235016000,USD,Bridge round
115,18/10/2016,GridOrbit,CleanTech,EV Infrastructure,Nigeria,Lagos,Y Combinator; Khosla Ventures,IPO,1577722000,USD,Follow-on expected
116,23/08/2017,ZenLoop,Healthtech,MedDevices,Japan,Tokyo,Norwest,Venture Debt,0,USD,Undisclosed amount
117,5/4/2020,ForgeNova,Healthtech,Health Analytics,Israel,Tel Aviv,General Catalyst; Seedcamp; Andreessen Horowitz,Seed,0,USD,Undisclosed amount
118,31/08/2017,LabsByte,SaaS,MarTech,Nigeria,Lagos,Y Combinator,IPO,1357560000,USD,Down round
119,13/06/2021,SeedEdge,AgriTech,FarmTech,UK,London,Accel,Seed,4293000,USD,Bridge round
120,5/10/2015,LumenOrbitOrbit,AgriTech,Ag Marketplaces,India,Mumbai,Tiger Global; IDG Capital,Series A,0,USD,Undisclosed amount
121,22/03/2023,HarborLabsBridge,CleanTech,Energy Storage,China,Beijing,Matrix Partners; Tiger Global,M&A,273355000,USD,Product pivot
122,16/01/2017,ZenSeed,AI,Robotics,Singapore,Singapore,Seedcamp,Growth,0,USD,Undisclosed amount
123,30/05/2015,PulseFluxLoop,SaaS,HRTech,India,Bengaluru,IDG Capital; Norwest; Founders Fund,Venture Debt,21679000,USD,Active
124,3/5/2019,LinkSpark,AI,Robotics,Germany,Berlin,SOSV; 500 Startups,Series C,264586000,USD,Product pivot
125,8/8/2018,ZenMint,Logistics,FreightTech,UK,London,Blume Ventures,Series B,20593000,USD,Partnership announced
126,15/12/2018,WiseCloudHarbor,CleanTech,WasteTech,Singapore,Singapore,SOSV,Series B,57184000,USD,Active
127,23/05/2015,ZenSync,Gaming,Cloud Gaming,France,Paris,Andreessen Horowitz; DST Global; Chiratae,Series A,7368000,USD,Partnership announced
128,8/12/2020,CoreMint,Biotech,Therapeutics,Mexico,Mexico City,Matrix Partners; 500 Startups; Tiger Global,Seed,3874000,USD,Partnership announced
129,11/11/2021,SeedSpark,Healthtech,Telemedicine,Singapore,Singapore,Y Combinator; Benchmark; Seedcamp,Series A,14985000,USD,Down round
130,2/3/2021,FluxFluxLink,Healthtech,Biotech,Singapore,Singapore,Chiratae; PayPal Ventures; Matrix Partners,Venture Debt,30371000,USD,Product pivot
131,29/03/2020,EdgeForgeZen,Gaming,Esports,France,Paris,Andreessen Horowitz; SoftBank Vision Fund; General Catalyst; Angel: S. Gupta,Series A,6072000,USD,Acquired
132,18/01/2020,PeakOrbit,CleanTech,WasteTech,South Korea,Seoul,PayPal Ventures,Growth,59595000,USD,Exited - IPO
133,25/10/2016,SeedSync,Logistics,FleetMgmt,Israel,Tel Aviv,IDG Capital; Andreessen Horowitz,Series A,3859000,USD,Exited - IPO
134,25/12/2020,OrbitHarbor,Logistics,FreightTech,UK,London,Elevation Capital,Seed,4721000,USD,Follow-on expected
135,27/04/2015,ByteHarbor,AgriTech,Supply Chain,Singapore,Singapore,Falcon Edge; Sequoia Capital,Series B,55315000,USD,Bankruptcy proceeding
136,22/05/2018,SyncPeak,SaaS,Analytics,Mexico,Mexico City,Founders Fund; Khosla Ventures,Series B,76846000,USD,Acquired by Strategic
137,4/7/2018,MintVaultLoop,Healthtech,Telemedicine,Singapore,Singapore,PayPal Ventures,Series A,18249000,USD,Acquired by Strategic
138,27/07/2015,CoreForge,AI,Computer Vision,Netherlands,Amsterdam,SoftBank Vision Fund,Seed,1128000,USD,Acquired by Strategic
139,9/11/2024,SparkNova,Edtech,Test Prep,South Africa,Johannesburg,General Catalyst; IDG Capital,Series B,35479000,USD,Acquired
140,23/11/2024,PeakSparkFlux,Logistics,ColdChain,India,Mumbai,Khosla Ventures,Seed,0,USD,Undisclosed amount
141,29/06/2019,BridgeLumen,Healthtech,Biotech,Israel,Tel Aviv,Norwest,Venture Debt,49322000,USD,Down round
142,11/6/2016,CoreLoop,E-commerce,Marketplaces,China,Beijing,DST Global; Chiratae,Series A,11386000,USD,Exited - IPO
143,7/1/2024,OrbitGrid,AI,NLP,India,Bengaluru,Sequoia Capital; Angel: S. Gupta,Series B,63873000,USD,Follow-on expected
144,10/5/2018,MintOrbitOrbit,Logistics,FleetMgmt,Netherlands,Amsterdam,DST Global,IPO,734038000,USD,Series delayed
145,18/07/2021,VaultSeed,AgriTech,Ag Marketplaces,UAE,Dubai,Y Combinator,Series C,0,USD,Undisclosed amount
146,1/2/2023,CoreEdgePeak,CleanTech,EV Infrastructure,South Africa,Johannesburg,Blume Ventures,Series A,0,USD,Undisclosed amount
147,17/08/2020,SparkVaultVault,Healthtech,MedDevices,India,Bengaluru,Seedcamp,Series A,16052000,USD,Active
148,26/02/2020,MintLumenLoop,Logistics,FleetMgmt,Nigeria,Lagos,PayPal Ventures,Seed,4113000,USD,Partnership announced
149,4/5/2018,SeedPulse,Gaming,Game Tools,Mexico,Mexico City,Khosla Ventures,Series A,10272000,USD,Product pivot
150,5/4/2019,LoopEdge,AI,Generative AI,France,Paris,Falcon Edge,Series A,0,USD,Undisclosed amount
151,21/04/2021,CloudEdgeLabs,Healthtech,Health Analytics,Japan,Tokyo,Founders Fund,Series B,74301000,USD,Bankruptcy proceeding
152,17/01/2023,LabsPeak,SaaS,MarTech,USA,San Francisco,Sequoia Capital; Y Combinator,Series B,0,USD,Undisclosed amount
153,22/03/2018,FluxHarbor,Logistics,FleetMgmt,South Korea,Seoul,Lightspeed,Series B,73847000,USD,Active
154,15/06/2019,LinkVault,Healthtech,MedDevices,Nigeria,Lagos,Blume Ventures; Bessemer Venture Partners; Sequoia Capital,Series B,15006000,USD,Bridge round
155,16/07/2020,OrbitGrid,Fintech,Insurtech,South Africa,Johannesburg,Elevation Capital,Series B,54969000,USD,Bridge round
156,23/04/2018,PeakPulseLink,Healthtech,Health Analytics,Singapore,Singapore,Accel; SOSV,Series B,44530000,USD,Bankruptcy proceeding
157,30/06/2025,NovaCloud,Biotech,Bioinformatics,Brazil,São Paulo,Blume Ventures; Andreessen Horowitz,Seed,3462000,USD,Acquired by Strategic
158,12/9/2015,LabsGridFlux,E-commerce,Vertical Commerce,Australia,Sydney,Matrix Partners,Series A,2384000,USD,Follow-on expected
159,1/7/2016,EdgeGrid,Logistics,FreightTech,Germany,Berlin,SoftBank Vision Fund,Series B,49599000,USD,Product pivot
160,6/9/2021,OrbitGrid,AI,Generative AI,Nigeria,Lagos,Lightspeed; SoftBank Vision Fund,Venture Debt,36572000,USD,Series delayed
161,5/9/2018,GridLabsPeak,Healthtech,Telemedicine,USA,San Francisco,Founders Fund,Growth,291381000,USD,Down round
162,28/04/2021,LumenGrid,CleanTech,Energy Storage,Brazil,São Paulo,IDG Capital,Series A,3867000,USD,Partnership announced
163,8/11/2022,LumenByte,Fintech,Lending,Canada,Toronto,Sequoia Capital,Series C,146985000,USD,Acquired
164,14/03/2019,GridCore,CleanTech,Energy Storage,Australia,Sydney,SOSV; Elevation Capital,Series A,6544000,USD,Acquired by Strategic
165,1/7/2017,NovaFlux,Gaming,Esports,France,Paris,Andreessen Horowitz,Seed,4607000,USD,Operational
166,11/2/2017,LabsBytePeak,Logistics,ColdChain,Nigeria,Lagos,Matrix Partners,Angel,130410,USD,Acquired by Strategic
167,19/07/2015,VaultByte,Fintech,Neobanking,India,Bengaluru,Chiratae,Seed,381658,USD,Acquired by Strategic
168,23/06/2021,PeakMintSync,Logistics,FleetMgmt,USA,San Francisco,SOSV,Seed,2527000,USD,Bridge round
169,22/03/2025,HarborPeak,Gaming,Esports,South Korea,Seoul,Falcon Edge,Seed,611349,USD,Acquired by Strategic
170,23/01/2017,SparkSyncSync,Fintech,Insurtech,China,Beijing,Bessemer Venture Partners; Andreessen Horowitz,Series C,201119000,USD,Bridge round
171,10/11/2017,MintHarbor,Edtech,LMS,USA,San Francisco,Andreessen Horowitz,Series A,15976000,USD,Acquired
172,5/10/2021,ZenPulse,AI,Computer Vision,Nigeria,Lagos,Norwest,Series B,35566000,USD,Bankruptcy proceeding
173,17/02/2017,LabsVaultSpark,Logistics,FleetMgmt,UAE,Dubai,Accel,Seed,2893000,USD,Down round
174,17/06/2018,LoopOrbit,SaaS,Analytics,India,Mumbai,Founders Fund,Series A,11498000,USD,Operational
175,8/3/2015,LumenBridge,CleanTech,EV Infrastructure,India,Bengaluru,SoftBank Vision Fund,Angel,227018,USD,Bankruptcy proceeding
176,5/5/2022,MintCloudSpark,E-commerce,D2C,India,Bengaluru,SoftBank Vision Fund,Seed,3286000,USD,Product pivot
177,23/01/2017,HarborByteOrbit,CleanTech,WasteTech,Singapore,Singapore,SOSV,Series B,57268000,USD,Active
178,9/3/2019,ForgeHarbor,Healthtech,Telemedicine,India,Bengaluru,Andreessen Horowitz; Angel: L. Wang,Series A,9766000,USD,Partnership announced
179,30/01/2018,FluxNovaOrbit,CleanTech,WasteTech,India,Bengaluru,Accel,Pre-Seed,77305,USD,Product pivot
180,22/12/2018,CoreZen,Edtech,K12,Germany,Berlin,IDG Capital,Series A,10086000,USD,Exited - IPO
181,3/4/2019,LumenSpark,CleanTech,Solar,India,Mumbai,Elevation Capital; Sequoia Capital,Seed,776263,USD,Active
182,22/04/2025,SyncPulse,Edtech,K12,UAE,Dubai,Falcon Edge; Y Combinator,Growth,366232000,USD,Product pivot
183,6/3/2015,BridgeEdge,CleanTech,EV Infrastructure,USA,San Francisco,Founders Fund; Falcon Edge; Chiratae; Angel: S. Gupta,IPO,1519800000,USD,Product pivot
184,18/04/2023,SeedVault,Healthtech,Health Analytics,Singapore,Singapore,Founders Fund; PayPal Ventures,Series A,15058000,USD,Acquired
185,13/06/2019,NovaHarbor,AI,Computer Vision,Germany,Berlin,DST Global,Series A,4551000,USD,Bridge round
186,6/4/2019,ForgeFlux,CleanTech,WasteTech,India,Mumbai,Chiratae,Angel,206831,USD,Down round
187,22/01/2015,GridLoop,Healthtech,Health Analytics,Israel,Tel Aviv,PayPal Ventures; Matrix Partners,Angel,90885,USD,Bridge round
188,20/03/2021,ForgeForge,Healthtech,MedDevices,South Korea,Seoul,Accel,Series A,19195000,USD,Exited - IPO
189,25/11/2016,CoreLinkEdge,Fintech,Insurtech,South Korea,Seoul,Founders Fund; SoftBank Vision Fund,Angel,54406,USD,Bridge round
190,19/01/2019,SyncVault,CleanTech,Solar,UK,London,General Catalyst,Seed,2415000,USD,Partnership announced
191,15/12/2021,MintGrid,AgriTech,Supply Chain,Japan,Tokyo,Norwest,Seed,2656000,USD,Exited - IPO
192,31/07/2018,VaultSeed,Gaming,Esports,Australia,Sydney,Blume Ventures,Seed,1785000,USD,Partnership announced
193,12/2/2021,PeakLumen,AgriTech,Supply Chain,Netherlands,Amsterdam,Falcon Edge,Angel,216011,USD,Active
194,7/2/2022,SyncCloud,CleanTech,Solar,Japan,Tokyo,Bessemer Venture Partners; Chiratae,Series C,67129000,USD,Partnership announced
195,27/04/2025,WiseLumenByte,Biotech,Bioinformatics,UK,London,Founders Fund,Series A,18080000,USD,Exited - IPO
196,10/6/2023,WiseLabs,Logistics,LastMile,Germany,Berlin,DST Global; Angel: L. Wang,Series C,220594000,USD,Active
197,13/11/2018,SparkLabs,SaaS,MarTech,Japan,Tokyo,Falcon Edge; Seedcamp,Angel,252778,USD,Bridge round
198,27/11/2018,LabsGrid,Healthtech,Telemedicine,Israel,Tel Aviv,Lightspeed,Angel,189865,USD,Product pivot
199,5/8/2022,VaultSync,AI,Computer Vision,Australia,Sydney,PayPal Ventures,Pre-Seed,98163,USD,Series delayed
200,2/2/2017,PeakWiseCore,Edtech,Test Prep,Nigeria,Lagos,Norwest,Series A,17504000,USD,Active
201,26/01/2024,BridgeLabs,SaaS,Analytics,South Africa,Johannesburg,Lightspeed; Benchmark,Series A,2149000,USD,Series delayed
202,11/5/2019,CoreBridgeLabs,AI,NLP,Japan,Tokyo,Elevation Capital,Seed,4206000,USD,Exited - IPO
203,4/9/2017,LabsLink,CleanTech,Solar,Australia,Sydney,Andreessen Horowitz,Venture Debt,40106000,USD,Exited - IPO
204,11/10/2022,LinkLumenLink,Logistics,ColdChain,South Korea,Seoul,General Catalyst,Series B,61501000,USD,Operational
